time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
0.000000000000000e+000	3.296703e+000	0.000000e+000	1.516439e-013	0.000000e+000
1.000000000000000e-009	3.296654e+000	3.300000e+000	4.889737e-005	9.774342e-005
3.380371452513368e-007	3.280298e+000	3.300000e+000	1.634327e-002	3.304091e-002
6.750742905026734e-007	3.264147e+000	3.300000e+000	3.231843e-002	6.598407e-002
1.012111435754010e-006	3.248202e+000	3.300000e+000	4.797438e-002	9.892724e-002
1.349148581005347e-006	3.232462e+000	3.300000e+000	6.331112e-002	1.318704e-001
1.686185726256684e-006	3.216927e+000	3.300000e+000	7.832864e-002	1.648136e-001
2.023222871508020e-006	3.201598e+000	3.300000e+000	9.302695e-002	1.977567e-001
2.360260016759357e-006	3.186474e+000	3.300000e+000	1.074061e-001	2.306999e-001
4.719556033518968e-006	3.086138e+000	3.300000e+000	2.005725e-001	4.613053e-001
9.438148067038194e-006	2.912915e+000	3.300000e+000	3.530749e-001	9.225144e-001
1.887533213407664e-005	2.690871e+000	3.300000e+000	5.958731e-001	1.844928e+000
2.059337882812304e-005	2.665645e+000	3.300000e+000	6.301797e-001	2.012853e+000
2.402947221621583e-005	2.607618e+000	3.300000e+000	6.817929e-001	2.348699e+000
3.090165899240141e-005	2.524141e+000	3.300000e+000	7.693465e-001	3.020386e+000
3.261970568644780e-005	2.509449e+000	3.300000e+000	7.872589e-001	3.188305e+000
3.605579907454059e-005	2.477670e+000	3.300000e+000	8.155246e-001	3.524140e+000
4.292798585072617e-005	2.431957e+000	3.300000e+000	8.634707e-001	4.195800e+000
4.808212593286536e-005	2.406512e+000	3.300000e+000	8.887550e-001	4.699530e+000
5.667235940309733e-005	2.377084e+000	3.300000e+000	9.203717e-001	5.539057e+000
6.869868626142209e-005	2.351465e+000	3.300000e+000	9.461360e-001	6.714323e+000
7.606174352162093e-005	2.343282e+000	3.300000e+000	9.542947e-001	7.433836e+000
8.342480078181975e-005	2.336475e+000	3.300000e+000	9.610909e-001	8.153300e+000
9.078785804201859e-005	2.331044e+000	3.300000e+000	9.665245e-001	8.872714e+000
9.815091530221743e-005	2.326988e+000	3.300000e+000	9.705954e-001	9.592079e+000
1.055139725624163e-004	2.324308e+000	3.300000e+000	9.733038e-001	1.031139e+001
1.128770298226151e-004	2.323004e+000	3.300000e+000	9.746496e-001	1.103066e+001
1.202400870828139e-004	2.323075e+000	3.300000e+000	9.746329e-001	1.174988e+001
2.348583450999090e-004	2.323790e+000	3.300000e+000	9.739472e-001	2.297091e+001
3.494766031170040e-004	2.325989e+000	3.300000e+000	9.717690e-001	3.412625e+001
4.640948611340991e-004	2.329672e+000	3.300000e+000	9.680982e-001	4.521591e+001
5.787131191511941e-004	2.334838e+000	3.300000e+000	9.629348e-001	5.623989e+001
6.933313771682892e-004	2.341489e+000	3.300000e+000	9.562788e-001	6.719819e+001
8.079496351853843e-004	2.349623e+000	3.300000e+000	9.481301e-001	7.809080e+001
9.225678932024790e-004	2.359241e+000	3.300000e+000	9.384889e-001	8.891772e+001
1.157694855044828e-003	2.382431e+000	3.300000e+000	9.152756e-001	1.109466e+002
1.392821816887177e-003	2.410155e+000	3.300000e+000	8.875225e-001	1.320974e+002
1.627948778729526e-003	2.442413e+000	3.300000e+000	8.552295e-001	1.523701e+002
1.863075740571876e-003	2.479207e+000	3.300000e+000	8.183967e-001	1.717647e+002
